Name,FieldTime,FID,Shape Area,LavaFlow
20,14-May-18,120,655.2972598,LavaFlow
18,15-May-18,121,6512.920826,LavaFlow
17,15-May-18,122,3367.718849,LavaFlow
17,15-May-18,123,5921.486152,LavaFlow
17,15-May-18,124,2788.347237,LavaFlow
17,15-May-18,125,1817.83263,LavaFlow
17,15-May-18,126,173.671904,LavaFlow
17,15-May-18,127,2394.248411,LavaFlow
17,15-May-18,128,829.3704835,LavaFlow
17,15-May-18,129,5730.842022,LavaFlow
17,15-May-18,130,3480.092161,LavaFlow
17,15-May-18,131,29316.33392,LavaFlow
17,15-May-18,132,2693.600066,LavaFlow
17,15-May-18,133,1107.967214,LavaFlow
17,15-May-18,134,83.6464013,LavaFlow
21,17-May-18,135,895.0580793,LavaFlow
21,16-May-18,136,24874.41173,LavaFlow
17,16-May-18,137,1052.647792,LavaFlow
17,16-May-18,138,1274.078422,LavaFlow
17,16-May-18,139,385.5291521,LavaFlow
17,16-May-18,140,3530.20929,LavaFlow
17,16-May-18,141,1048.525714,LavaFlow
21,17-May-18,142,1.226627441,LavaFlow
21,17-May-18,143,2605.572578,LavaFlow
21,17-May-18,144,1486.283039,LavaFlow
21,17-May-18,145,187.9184172,LavaFlow
21,17-May-18,146,2.264147131,LavaFlow
21,17-May-18,147,215.3363742,LavaFlow
21,17-May-18,148,1770.063397,LavaFlow
21,17-May-18,149,7458.402955,LavaFlow
21,17-May-18,150,2794.019136,LavaFlow
23,17-May-18,151,6628.285877,LavaFlow
15,17-May-18,152,28233.37603,LavaFlow
19,17-May-18,153,310.8698013,LavaFlow
19,17-May-18,154,1042.413236,LavaFlow
19,17-May-18,155,51.69855367,LavaFlow
22,17-May-18,156,17020.4297,LavaFlow
20,17-May-18,157,7213.696617,LavaFlow
18,17-May-18,158,810.4015822,LavaFlow
18,17-May-18,159,272981.2211,LavaFlow
5,4-May-18,160,90.27720701,LavaFlow
23,18-May-18,161,10255.01982,LavaFlow
13,18-May-18,162,239.0215155,LavaFlow
19/20/22,18-May-18,163,8.027945186,LavaFlow
18,18-May-18,164,4.505269251,LavaFlow
18,18-May-18,165,87.7557262,LavaFlow
18,18-May-18,166,49.11041696,LavaFlow
18,18-May-18,167,13.25921154,LavaFlow
18,18-May-18,168,474.1614188,LavaFlow
18,18-May-18,169,4.778512193,LavaFlow
18,18-May-18,170,447.4893423,LavaFlow
18,18-May-18,171,59918.10234,LavaFlow
18,18-May-18,172,346.6519192,LavaFlow
18,18-May-18,173,29.52674283,LavaFlow
18,18-May-18,174,350.4883837,LavaFlow
18,18-May-18,175,49.25056144,LavaFlow
18,18-May-18,176,9.523381358,LavaFlow
18,18-May-18,177,0.00715606,LavaFlow
19/20/22,18-May-18,178,695935.2827,LavaFlow
18,18-May-18,179,351.8325818,LavaFlow
18,18-May-18,180,203.2829355,LavaFlow
18,18-May-18,181,173.935665,LavaFlow
19/20/22,18-May-18,182,77.8828587,LavaFlow
19/20/22,18-May-18,183,9.893154112,LavaFlow
19/20/22,18-May-18,184,25.63952697,LavaFlow
19/20/22,18-May-18,185,0.716180679,LavaFlow
18,18-May-18,186,17147.69057,LavaFlow
19/20/22,18-May-18,187,8.373928449,LavaFlow
19/20/22,18-May-18,188,5460.173345,LavaFlow
17,18-May-18,189,125.8761074,LavaFlow
17,18-May-18,190,427.2635257,LavaFlow
17,18-May-18,191,1430.663887,LavaFlow
19/20/22,18-May-18,192,5129.003413,LavaFlow
17,18-May-18,193,15098.36515,LavaFlow
17,18-May-18,194,148.301383,LavaFlow
17,18-May-18,195,2720.863366,LavaFlow
17,18-May-18,196,510.449069,LavaFlow
17,18-May-18,197,1.502310617,LavaFlow
8,18-May-18,198,15681.41116,LavaFlow
23,18-May-18,199,3271.12622,LavaFlow
23,18-May-18,200,4501.019086,LavaFlow
23,18-May-18,201,1883.125311,LavaFlow
23,18-May-18,202,10013.72756,LavaFlow
19/20/22,18-May-18,203,1045759.13,LavaFlow
6,18-May-18,204,1363.931627,LavaFlow
19/20/22,18-May-18,205,614058.6119,LavaFlow
19/20/22,18-May-18,206,1442.42451,LavaFlow
19/20/22,18-May-18,207,31.92949213,LavaFlow
19/20/22,18-May-18,208,8330.762058,LavaFlow
19/20/22,18-May-18,209,17221.99798,LavaFlow
19/20/22,18-May-18,210,59.71892825,LavaFlow
19/20/22,18-May-18,211,37665.28897,LavaFlow
19/20/22,18-May-18,212,203649.2779,LavaFlow
18,18-May-18,213,565.5825048,LavaFlow
18,18-May-18,214,7670.582021,LavaFlow
18,18-May-18,215,9083.262274,LavaFlow
18,18-May-18,216,43129.15554,LavaFlow
18,18-May-18,217,2647.756002,LavaFlow
17,18-May-18,218,389.0980254,LavaFlow
19/20/22,18-May-18,219,108737.7071,LavaFlow
17,18-May-18,220,16544.53854,LavaFlow
17,18-May-18,221,1653.177602,LavaFlow
17,18-May-18,222,5921.167672,LavaFlow
17,18-May-18,223,1416.553826,LavaFlow
17,18-May-18,224,11903.47161,LavaFlow
17,18-May-18,225,29181.09041,LavaFlow
19/20/22,19-May-18,226,22328.987,LavaFlow
19/20/22,19-May-18,227,7825.425463,LavaFlow
19/20/22,19-May-18,228,1198810.506,LavaFlow
19/20/22,19-May-18,229,1497.443211,LavaFlow
19/20/22,19-May-18,230,1652.077562,LavaFlow
19/20/22,19-May-18,231,4700.166919,LavaFlow
19/20/22,19-May-18,232,179.3516225,LavaFlow
19/20/22,19-May-18,233,3571.310143,LavaFlow
19/20/22,19-May-18,234,0.516025441,LavaFlow
19/20/22,19-May-18,235,2319.496548,LavaFlow
19/20/22,19-May-18,236,4190.022556,LavaFlow
19/20/22,19-May-18,237,15073.19125,LavaFlow
19/20/22,19-May-18,238,10651.80331,LavaFlow
19/20/22,19-May-18,239,2017.392434,LavaFlow
19/20/22,19-May-18,240,596.0606949,LavaFlow
19/20/22,19-May-18,241,501.5137528,LavaFlow
19/20/22,19-May-18,242,272.1792827,LavaFlow
19/20/22,19-May-18,243,76001.22206,LavaFlow
19/20/22,19-May-18,244,1530.701552,LavaFlow
19/20/22,19-May-18,245,22424.68682,LavaFlow
19/20/22,18-May-18,246,439.2980649,LavaFlow
6,19-May-18,247,7077.564033,LavaFlow
6,19-May-18,248,0.048653599,LavaFlow
6,19-May-18,249,143.8841827,LavaFlow
19/20/22,18-May-18,250,4340.392353,LavaFlow
19/20/22,19-May-18,251,330863.1874,LavaFlow
6,19-May-18,252,6166.777339,LavaFlow
19/20/22,19-May-18,253,57093.1237,LavaFlow
19/20/22,19-May-18,254,26492.42709,LavaFlow
