objectid,type,name,managedby,island,gis_acre
119,fr,SOUTH KONA FOREST RES. (OLELOMOANA OPIHIHALI SEC.),DOFAW,Hawaii,3888.37194
120,fr,SOUTH KONA FOREST RESERVE (KAPUA-MANUKA SEC.),DOFAW,Hawaii,2695.345355
122,fr,KAPAPALA FOREST RESERVE,DOFAW,Hawaii,37275.42166
123,fr,KAU FOREST RESERVE,DOFAW,Hawaii,61641.22661
124,fr,SOUTH KONA FOREST RESERVE (KUKUIOPAE SEC.),DOFAW,Hawaii,2836.604114
128,tnc,KAU PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,209.5860643
129,tnc,KAU PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,202.4292601
130,tnc,KAU PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,2581.521566
157,fr,HILO FOREST RESERVE (WATERSHED RESERVE SEC.),DOFAW,Hawaii,41971.56747
125,nar,KIPAHOEHOE NATURAL AREA RESERVE,DOFAW,Hawaii,5894.214842
126,tnc,KONA HEMA PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,8107.025232
127,nar,PUU O UMI NATURAL AREA RESERVE,DOFAW,Hawaii,10374.49239
135,fr,HAMAKUA FOREST RESERVE (AHUALOA SEC.),DOFAW,Hawaii,316.4377422
136,ps,KOAIA TREE SANCTUARY,DOFAW,Hawaii,13.14009294
137,fr-sr,HAMAKUA FR (KALOPA SEC.) / KALOPA STATE REC. AREA,DOFAW/DOSP,Hawaii,44.3807961
138,nhs,PUUKOHOLA HEIAU NATIONAL HISTORIC SITE,USNPS,Hawaii,83.96690621
139,sra,HAPUNA BEACH STATE RECREATION AREA,DOSP,Hawaii,61.40947428
140,fr,MANOWAIALEE FOREST RESERVE,DOFAW,Hawaii,823.3012558
141,fr,MANOWAIALEE FOREST RESERVE,DOFAW,Hawaii,784.0702746
142,fr,HILO FOREST RESERVE (HUMUULA SEC.),DOFAW,Hawaii,3345.545365
143,sra,HAPUNA BEACH STATE RECREATION AREA (WAIALEA  SEC.),DOSP,Hawaii,1.84538846
144,fr,HILO FOREST RESERVE (PIHA SEC.),DOFAW,Hawaii,4574.069805
207,nar,KALUANUI NATURAL AREA RESERVE,DOFAW,Oahu,376.7828905
145,fr,HILO FOREST RESERVE (OPEA SEC.),DOFAW,Hawaii,261.7930892
146,gma,PUU ANAHULU GAME MANAGEMENT AREA,DOFAW,Hawaii,63034.0886
147,fr,HILO FOREST RESERVE (KAMAEE SEC.),DOFAW,Hawaii,1545.47889
148,fr,HILO FOREST RESERVE (KAIWIKI SEC.),DOFAW,Hawaii,5157.803155
149,sp,AKAKA FALLS STATE PARK,DOSP,Hawaii,65.36273451
150,fr,HILO FOREST RESERVE (KAUKU SEC.),DOFAW,Hawaii,67.86453915
151,gma,KAOHE GAME MANAGEMENT AREA,DOFAW,Hawaii,6872.657084
152,nar,MAUNA KEA ICE AGE NATURAL AREA RESERVE,DOFAW,Hawaii,144.5314521
153,nar,MAUNA KEA ICE AGE NATURAL AREA RESERVE,DOFAW,Hawaii,3788.675824
158,ws,PUU WAAWAA FOREST BIRD SANCTUARY,DOFAW,Hawaii,3827.71316
154,sp,KEKAHA KAI STATE PARK,DOSP,Hawaii,782.2497649
155,mil,POHAKULOA TRAINING AREA RESERVATION,US Army,Hawaii,102486.6711
156,sp,KEKAHA KAI STATE PARK,DOSP,Hawaii,888.1458707
159,sra,WAILOA RIVER STATE RECREATION AREA,DOSP,Hawaii,129.462613
160,sp,WAILUKU RIVER STATE PARK,DOSP,Hawaii,5.20750218
161,sp,WAILUKU RIVER STATE PARK,DOSP,Hawaii,10.37061744
163,fr,HILO FOREST RESERVE (KUKUAU SEC.),DOFAW,Hawaii,1760.088565
162,fr,MAUNA LOA FOREST RESERVE,DOFAW,Hawaii,54798.24039
164,ws,KIPUKA AINAHOU NENE SANCTUARY,DOFAW,Hawaii,24098.38066
257,nwr,KAKAHAIA NATIONAL WILDLIFE REFUGE,USFWS,Molokai,45.9542228
165,fr,UPPER WAIAKEA FOREST RESERVE,DOFAW,Hawaii,53240.96662
166,fr,HONUAULA FOREST RESERVE,DOFAW,Hawaii,7236.358323
167,fr,WAIAKEA FOREST RESERVE,DOFAW,Hawaii,11060.2852
168,xs,UPPER WAIAKEA BOG SANCTUARY,DOFAW,Hawaii,50.31786649
169,nar,WAIAKEA 1942 LAVA FLOW NATURAL AREA RESERVE,DOFAW,Hawaii,645.9538195
170,fr,WAIAHA SPRINGS FOREST RESERVE,DOFAW,Hawaii,89.28954952
171,fr,WAIAHA SPRINGS FOREST RESERVE,DOFAW,Hawaii,360.907172
172,sxp,HULIHEE PALACE,DOSP,Hawaii,1.08188882
177,fr,NANAWALE FOREST RESERVE,DOFAW,Hawaii,1211.259911
263,np,HALEAKALA NATIONAL PARK,USNPS,Maui,6.48802323
173,fr,OLAA FOREST RESERVE,DOFAW,Hawaii,5106.378568
174,shp,KEOLONAHIHI STATE HISTORICAL PARK-KEAKEALANIWAHINE,DOSP,Hawaii,15.92034995
175,shp,KEOLONAHIHI STATE HISTORICAL PARK,DOSP,Hawaii,13.88643676
179,fr,NANAWALE FOREST RESERVE (HALEPUAA SEC.),DOFAW,Hawaii,701.0609933
