objectid,type,name,managedby,island,gis_acre
248,sp,POLIHALE STATE PARK,DOSP,Kauai,148.3105463
252,nwr,OAHU FOREST NATIONAL WILDLIFE REFUGE,USFWS,Oahu,4600.324605
253,nwr,PEARL HARBOR NAT'L WILDLIFE REFUGE (KALAELOA),USFWS,Oahu,38.44304512
255,nwr,KEALIA POND NATIONAL WILDLIFE REFUGE,USFWS,Maui,629.4183686
258,nwr,HAKALAU FOREST NATIONAL WILDLIFE REFUGE,USFWS,Hawaii,7149.486817
259,nwr,HAKALAU FOREST NATIONAL WILDLIFE REFUGE,USFWS,Hawaii,25333.50195
260,nwr,HAKALAU FOREST NATIONAL WILDLIFE REFUGE S.KONA SEC,USFWS,Hawaii,5350.926817
261,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW,Oahu,6465.853505
262,np,HALEAKALA NATIONAL PARK,USNPS,Maui,17.26592665
266,nar,KANAIO NATURAL AREA RESERVE,DOFAW,Maui,1518.900422
267,tnc,KAPUNAKEA PRESERVE (NATURE CONSERVANCY),TNC,Maui,0.49737395
268,tnc,KIPUKA A `UMI  PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,934.8930426
269,tnc,AKINA PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,35.48031419
270,tnc,KAHUKU IKI  PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,221.7942606
271,fr,WAIMANALO FOREST RESERVE,DOFAW,Oahu,2.30650924
272,fr,WAIMANALO FOREST RESERVE,DOFAW,Oahu,484.7371581
273,fr-sm,WAIMANALO FR / MT OLOMANA STATE MONUMENT,DOFAW,Oahu,209.3697527
278,fr-gm,HAMAKUA FOREST RESERVE (KALOPA SEC.) / KALOPA GMA,DOFAW,Hawaii,77.18836385
274,gma,KAHUA/PONOHOLO RANCH SPECIAL PERMIT AREA CO-OP GMA,DOFAW/Private,Hawaii,1647.38835
275,fr,HAMAKUA FOREST RESERVE (KEAA SEC.),DOFAW,Hawaii,340.94493
276,fr,HAMAKUA FOREST RESERVE (HONOKAIA SEC.),DOFAW,Hawaii,257.1304924
277,fr,HAMAKUA FOREST RESERVE (KALOPA SEC.),DOFAW,Hawaii,481.6850404
307,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.03811562
308,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.0428415
279,fr,HONUAULA FOREST RESERVE,DOFAW,Hawaii,1252.971171
280,xxx,MAUI MOTOCROSS TRACK,MMA/DOFAW,Maui,12.07033421
281,fr,HONOULIULI FOREST RESERVE,DOFAW,Oahu,3566.868549
282,fr,LUALUALEI FOREST RESERVE,DOFAW,Oahu,787.2265634
283,fr,MAUNA KEA FOREST RESERVE,DOFAW,Hawaii,65642.08801
319,fr,KOHALA FOREST RESERVE,DOFAW,Hawaii,3.74255131
320,fr,KOHALA WATERSHED FOREST RESERVE,DOFAW,Hawaii,4806.671982
321,fr,KOHALA FOREST RESERVE (WAIMANU SEC.),DOFAW,Hawaii,4109.204953
322,fr,KOHALA FOREST RESERVE,DOFAW,Hawaii,8223.886123
323,gma,KAONOULU RANCH COOPERATIVE GAME MANAGEMENT AREA,DOFAW,Maui,975.5482606
284,fr-ml,POHAKULOA TRAINING AREA RESERVATION / MAUNA KEA FR,DOFAW/US Army,Hawaii,7046.794482
285,sw,MANUKA STATE WAYSIDE,DOSP,Hawaii,12.92232556
286,nar,MANUKA NATURAL AREA RESERVE,DOFAW,Hawaii,25714.43717
287,nar,KAHAUALEA NATURAL AREA RESERVE,DOFAW,Hawaii,22742.51035
324,fr,WAIAHOLE FOREST RESERVE,DOFAW,Oahu,71.70191613
325,fr,KANEOHE FOREST RESERVE,DOFAW,Oahu,19.64066389
288,fr,HAMAKUA FOREST RESERVE (PAAUILO SEC.),DOFAW,Hawaii,1057.887064
289,fr,HAMAKUA FOREST RESERVE (KAINEHE SEC.),DOFAW,Hawaii,46.86269521
290,fr,HAMAKUA FOREST RESERVE (HOEA KAAO SEC.),DOFAW,Hawaii,553.2396471
291,fr,KULIOUOU FOREST RESERVE,DOFAW,Oahu,215.0095804
292,sra,MAUNA KEA STATE RECREATION AREA,DOSP,Hawaii,32.40186808
293,xxx,KEAUHOU II (HUALALAI) COOPERATIVE NENE SANCTUARY,DOFAW,Hawaii,13163.84242
294,xxx,KEAUHOU COOPERATIVE NENE SANCTUARY,DOFAW,Hawaii,3908.654161
295,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,26.11300192
296,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,6309.180188
297,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,109.4405906
298,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.18558385
299,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.19304763
