OBJECTID,tmk,tmk_txt,cty_tmk,majorowner,bigstowner,taxacres,landvalue,landexempt,bldgvalue,bldgexempt,pittcode,homeowner,gisacres,nhoodcode,qpub_link,ORIG_FID,x,y,lost,property_class
5003,314046053,314046053,14046053,other,other,0.1836,4200,0,0,0,100,N,0.18423882,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460530000,57134,-154.9078745,19.49621267,N,RESIDENTIAL
5004,314046054,314046054,14046054,other,other,0.1848,4200,0,113200,0,100,N,0.18846665,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460540000,57135,-154.9078118,19.49638718,N,RESIDENTIAL
5005,314046055,314046055,14046055,other,other,0.1846,4200,0,0,0,100,N,0.19196937,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460550000,57136,-154.9075906,19.49622798,N,RESIDENTIAL
5006,314046056,314046056,14046056,other,other,0.1846,4200,0,0,0,100,N,0.18661279,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460560000,57137,-154.9074218,19.49617842,N,RESIDENTIAL
5007,314046057,314046057,14046057,other,other,0.1846,4200,0,0,0,100,N,0.18506887,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460570000,57138,-154.9072564,19.49612885,N,RESIDENTIAL
5008,314046058,314046058,14046058,other,other,0.1846,4200,0,0,0,100,N,0.18372718,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460580000,57139,-154.9070919,19.49608042,N,RESIDENTIAL
5009,314046059,314046059,14046059,other,other,0.1846,4200,0,0,0,100,N,0.18798007,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460590000,57140,-154.9069262,19.49603142,N,RESIDENTIAL
5010,314046060,314046060,14046060,other,other,0.1846,3500,0,110900,62900,100,Y,0.18459379,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460600000,57141,-154.90676,19.49598242,N,HOMEOWNER
5011,314046061,314046061,14046061,other,other,0.1846,4200,0,0,0,100,N,0.18574683,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140460610000,57142,-154.906595,19.49593295,N,RESIDENTIAL
5012,314060040,314060040,14060040,other,other,0.1846,4200,0,0,0,100,N,0.18629016,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140600400000,57143,-154.9139485,19.50170811,N,RESIDENTIAL
5013,314050049,314050049,14050049,other,other,0.1846,4200,0,0,0,100,N,0.1853313,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140500490000,57144,-154.9129742,19.49873146,N,RESIDENTIAL
5014,314031076,314031076,14031076,other,other,0.1846,4300,0,0,0,500,N,0.18331042,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310760000,57145,-154.9060093,19.50646893,N,AGRICULTURAL
